ET  1. 187.
ET  2. 186.
ET  3. 187.
ET  4. 186.
ET  5. 187.
ET  6. 186.
ET  7. 187.
ET  8. 186.
ET  9. 187.
ET 10. 186.
ET 11. 187.
ET 12. 186.
ET 13. 154.

 LIST ALL SELECTED NODES.   DSYS=      0

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Advanced                  

 00396707  VERSION=WINDOWS x64   19:58:17  MAR 27, 2018 CP=     11.250

 Fricke&Doerk--Static Structural (B5)                                          



   NODE        X                   Y                   Z
       99   -175.000000000         30.0000000000         1.00469335800     
      100    185.000000000         20.0000000000        -1.00419189400     
      101   -34.9676679800         10.3670882400        -2.06342838300     
      102   -80.0676429700         21.1720470200         2.41619111600     
      103    110.201394000         14.9999999600        -1.00536316900     
      104    25.0000000000         35.0000000000         1.00156714300     
      105    50.0000000000         30.0000000000        -1.00081319100     
      106    15.0000000000         30.0000000000        -1.00064308800     
      107    40.0000000000         35.0000000000        -1.00032979900     
      108    95.0000000000         35.0000000000        -1.00029643400     
      109   -160.300603200         25.8526304000        -1.12297906800     
      110    110.000000000         35.0000000000        -1.00046850500     
      111    20.4275749400         9.99999995700       -0.995232648100     
      112    115.000000000         35.0000000000        -1.00087809900     
      113    180.011231600         19.9999999500        -1.00627360900     
      114   -165.416726300         15.5211336900        -2.11554794500     
      115    145.000000000         35.0000000000        -1.00004781800     
      116   -190.000000000         30.0000000000        0.990621126700     
      117   -130.197267000         30.6321883200         1.11172411800     
      118   -94.8093301800         25.8924681500        -1.11656860400     
      119   -74.3916647400         9.37747544300        -2.07473194400     
      120    10.0000000000         35.0000000000         1.00583090100     
      121    15.0000000000         35.0000000000         1.00396271900     
      122    60.0978792900         25.0042440400         1.00310883300     
      123    60.3253287600         14.9999999600        -1.00545388000     
      124    95.2478695300         9.99999995700       -0.995796093300     
      125    60.0000000000         30.0000000000        -1.00128689900     
      126    80.2227176200         19.9972509900        -1.00332052900     
      127    120.259092500         14.9999999300         1.00598317400     
      128   -4.84910532800         25.0000370400        -1.00266058300     
      129   0.967480800700E-001    30.0454193700         1.02202848000     
      130    95.2478695300         14.9999999600        -1.00485145900     
      131    40.0000000000         40.0000000000       -0.990043057300     
      132    110.052639600         25.0015501200        -1.00332890500     
      133    25.0000000000         30.0000000000       -0.999635969000     
